frame,time_s,champion,team,conf,x,y
15354,256.16,Poppy,T1,0.328,0.6276,0.2534
15372,256.46,Poppy,T1,0.302,0.6277,0.2534
15384,256.66,Poppy,T1,0.317,0.6274,0.2534
15390,256.76,Poppy,T1,0.345,0.6274,0.2534
15396,256.86,Poppy,T1,0.359,0.6274,0.2534
15402,256.96,Poppy,T1,0.357,0.6274,0.2534
15408,257.06,Poppy,T1,0.356,0.6274,0.2534
15414,257.16,Poppy,T1,0.357,0.6275,0.2534
15420,257.26,Poppy,T1,0.364,0.6274,0.2534
15426,257.36,Poppy,T1,0.347,0.6274,0.2534
15432,257.46,Poppy,T1,0.333,0.6277,0.2535
15438,257.56,Poppy,T1,0.339,0.6277,0.2535
15444,257.66,Poppy,T1,0.324,0.6277,0.2535
15450,257.76,Poppy,T1,0.302,0.6277,0.2535
15456,257.86,Poppy,T1,0.404,0.6273,0.2534
15462,257.96,Poppy,T1,0.390,0.6273,0.2534
15468,258.06,Poppy,T1,0.405,0.6272,0.2534
15474,258.16,Poppy,T1,0.402,0.6271,0.2534
15480,258.26,Poppy,T1,0.358,0.6272,0.2534
15486,258.36,Poppy,T1,0.404,0.6269,0.2533
15492,258.46,Poppy,T1,0.412,0.6269,0.2533
15498,258.56,Poppy,T1,0.407,0.6269,0.2533
15504,258.66,Poppy,T1,0.410,0.6269,0.2533
15510,258.76,Poppy,T1,0.413,0.6269,0.2533
15516,258.86,Poppy,T1,0.414,0.6269,0.2533
15522,258.96,Poppy,T1,0.405,0.6269,0.2533
15528,259.06,Poppy,T1,0.417,0.6269,0.2533
15534,259.16,Poppy,T1,0.429,0.6269,0.2533
15540,259.26,Poppy,T1,0.429,0.6269,0.2533
15546,259.36,Poppy,T1,0.429,0.6269,0.2533
15552,259.46,Poppy,T1,0.428,0.6269,0.2533
15558,259.56,Poppy,T1,0.315,0.6288,0.2540
15570,259.76,JarvanIV,BLG,0.411,0.3926,0.9509
15600,260.26,JarvanIV,BLG,0.342,0.3954,0.9518
15606,260.36,JarvanIV,BLG,0.348,0.3954,0.9518
15612,260.46,JarvanIV,BLG,0.328,0.3954,0.9518
15618,260.56,JarvanIV,BLG,0.331,0.3954,0.9518
15624,260.66,JarvanIV,BLG,0.315,0.3954,0.9517
15630,260.76,JarvanIV,BLG,0.308,0.3954,0.9517
15636,260.86,JarvanIV,BLG,0.310,0.3954,0.9517
15642,260.96,JarvanIV,BLG,0.311,0.3954,0.9517
15648,261.06,JarvanIV,BLG,0.312,0.3954,0.9517
15654,261.16,JarvanIV,BLG,0.312,0.3954,0.9517
15660,261.26,XinZhao,T1,0.414,0.3951,0.8920
15666,261.36,XinZhao,T1,0.414,0.3951,0.8920
15672,261.46,XinZhao,T1,0.413,0.3951,0.8920
15678,261.56,XinZhao,T1,0.413,0.3951,0.8920
