frame,time_s,champion,team,conf,x,y
0,0.00,Yorick,T1,0.871,0.9198,0.9590
30,0.50,Yorick,T1,0.872,0.9198,0.9589
60,1.00,Yorick,T1,0.892,0.9198,0.9589
90,1.50,Yorick,T1,0.892,0.9198,0.9589
120,2.00,Yorick,T1,0.895,0.9199,0.9589
150,2.50,Yorick,T1,0.899,0.9198,0.9588
180,3.00,Yorick,T1,0.898,0.9199,0.9590
180,3.00,Cassiopeia,T1,0.357,0.3310,0.7556
210,3.50,Yorick,T1,0.897,0.9202,0.9590
240,4.00,Yorick,T1,0.893,0.9201,0.9589
270,4.50,Yorick,T1,0.881,0.9197,0.9589
300,5.00,Yorick,T1,0.855,0.9198,0.9589
330,5.51,Yorick,T1,0.811,0.9229,0.9585
330,5.51,Jayce,BLG,0.372,0.0606,0.9003
360,6.01,Yorick,T1,0.857,0.9211,0.9588
390,6.51,Yorick,T1,0.854,0.9235,0.9586
420,7.01,Yorick,T1,0.822,0.9235,0.9586
450,7.51,Yorick,T1,0.839,0.9235,0.9585
480,8.01,Yorick,T1,0.839,0.9234,0.9586
510,8.51,Yorick,T1,0.885,0.9233,0.9587
540,9.01,Yorick,T1,0.880,0.9232,0.9586
570,9.51,Yorick,T1,0.876,0.9217,0.9588
600,10.01,Yorick,T1,0.886,0.9234,0.9587
630,10.51,Yorick,T1,0.869,0.9201,0.9589
660,11.01,Yorick,T1,0.886,0.9198,0.9588
690,11.51,Yorick,T1,0.905,0.9200,0.9590
690,11.51,Cassiopeia,T1,0.410,0.3314,0.7556
720,12.01,Yorick,T1,0.906,0.9202,0.9590
720,12.01,Cassiopeia,T1,0.471,0.3312,0.7556
750,12.51,Yorick,T1,0.901,0.9200,0.9590
750,12.51,Cassiopeia,T1,0.388,0.3312,0.7556
780,13.01,Yorick,T1,0.901,0.9200,0.9590
780,13.01,Cassiopeia,T1,0.401,0.3312,0.7556
810,13.51,Yorick,T1,0.900,0.9200,0.9590
810,13.51,Cassiopeia,T1,0.394,0.3312,0.7556
840,14.01,Yorick,T1,0.872,0.9197,0.9588
870,14.51,Yorick,T1,0.898,0.9200,0.9589
870,14.51,Cassiopeia,T1,0.363,0.3315,0.7557
900,15.02,Yorick,T1,0.896,0.9199,0.9589
930,15.52,Yorick,T1,0.890,0.9199,0.9589
960,16.02,Yorick,T1,0.880,0.9199,0.9588
990,16.52,Yorick,T1,0.851,0.9235,0.9585
1020,17.02,Yorick,T1,0.789,0.9234,0.9586
1050,17.52,Yorick,T1,0.802,0.9234,0.9586
1080,18.02,Yorick,T1,0.814,0.9236,0.9586
1110,18.52,Yorick,T1,0.607,0.9231,0.9590
1140,19.02,Yorick,T1,0.435,0.9232,0.9590
1260,21.02,Yorick,T1,0.793,0.9200,0.9590
1290,21.52,Yorick,T1,0.740,0.9199,0.9589
1320,22.02,Yorick,T1,0.762,0.9198,0.9590
1350,22.52,Yorick,T1,0.903,0.9200,0.9589
1350,22.52,Cassiopeia,T1,0.384,0.3315,0.7553
1380,23.02,Yorick,T1,0.904,0.9200,0.9589
1380,23.02,Cassiopeia,T1,0.408,0.3314,0.7553
1410,23.52,Yorick,T1,0.903,0.9200,0.9590
1410,23.52,Cassiopeia,T1,0.437,0.3313,0.7553
1440,24.02,Yorick,T1,0.899,0.9199,0.9589
1470,24.52,Yorick,T1,0.895,0.9209,0.9588
1500,25.03,Yorick,T1,0.892,0.9201,0.9588
1530,25.53,Yorick,T1,0.889,0.9202,0.9589
1560,26.03,Yorick,T1,0.888,0.9226,0.9586
1590,26.53,Yorick,T1,0.902,0.9215,0.9589
1620,27.03,Yorick,T1,0.899,0.9234,0.9588
1650,27.53,Yorick,T1,0.890,0.9234,0.9587
1680,28.03,Yorick,T1,0.899,0.9225,0.9588
1710,28.53,Yorick,T1,0.765,0.9199,0.9588
1740,29.03,Yorick,T1,0.740,0.9200,0.9590
1770,29.53,Yorick,T1,0.797,0.9205,0.9589
1800,30.03,Yorick,T1,0.843,0.9199,0.9590
1830,30.53,Yorick,T1,0.856,0.9199,0.9591
1860,31.03,Yorick,T1,0.852,0.9199,0.9591
1890,31.53,Yorick,T1,0.884,0.9203,0.9591
1890,31.53,Cassiopeia,T1,0.385,0.3317,0.7555
1920,32.03,Yorick,T1,0.883,0.9203,0.9591
1920,32.03,Cassiopeia,T1,0.385,0.3317,0.7555
1950,32.53,Yorick,T1,0.939,0.9196,0.9586
1950,32.53,Cassiopeia,T1,0.420,0.3311,0.7554
1980,33.03,Yorick,T1,0.921,0.9195,0.9585
1980,33.03,Cassiopeia,T1,0.355,0.3312,0.7555
2010,33.53,Yorick,T1,0.923,0.9196,0.9585
2010,33.53,Cassiopeia,T1,0.364,0.3314,0.7554
2040,34.03,Yorick,T1,0.915,0.9196,0.9585
2040,34.03,Cassiopeia,T1,0.368,0.3314,0.7554
2070,34.53,Yorick,T1,0.919,0.9195,0.9585
2070,34.53,Cassiopeia,T1,0.366,0.3314,0.7554
2100,35.04,Yorick,T1,0.919,0.9195,0.9585
2100,35.04,Cassiopeia,T1,0.372,0.3314,0.7555
2130,35.54,Yorick,T1,0.916,0.9195,0.9585
2160,36.04,Yorick,T1,0.905,0.9195,0.9585
2190,36.54,Yorick,T1,0.894,0.9199,0.9589
2220,37.04,Yorick,T1,0.893,0.9198,0.9588
2250,37.54,Yorick,T1,0.785,0.9193,0.9586
2280,38.04,Yorick,T1,0.896,0.9197,0.9589
2310,38.54,Yorick,T1,0.886,0.9198,0.9588
2340,39.04,Yorick,T1,0.891,0.9198,0.9588
2370,39.54,Yorick,T1,0.894,0.9198,0.9589
2400,40.04,Yorick,T1,0.892,0.9198,0.9589
2400,40.04,Cassiopeia,T1,0.399,0.3311,0.7554
2430,40.54,Yorick,T1,0.893,0.9198,0.9588
2430,40.54,Cassiopeia,T1,0.425,0.3312,0.7554
2460,41.04,Yorick,T1,0.897,0.9199,0.9589
2460,41.04,Cassiopeia,T1,0.436,0.3313,0.7555
2490,41.54,Yorick,T1,0.898,0.9199,0.9589
2490,41.54,Cassiopeia,T1,0.431,0.3312,0.7554
2520,42.04,Yorick,T1,0.898,0.9199,0.9589
2520,42.04,Cassiopeia,T1,0.450,0.3310,0.7555
2550,42.54,Yorick,T1,0.931,0.9194,0.9584
2550,42.54,Cassiopeia,T1,0.433,0.3310,0.7555
2580,43.04,Yorick,T1,0.922,0.9194,0.9584
2580,43.04,Cassiopeia,T1,0.405,0.3311,0.7555
2610,43.54,Yorick,T1,0.900,0.9199,0.9589
2610,43.54,Cassiopeia,T1,0.477,0.3315,0.7555
2640,44.04,Yorick,T1,0.896,0.9199,0.9589
2640,44.04,Cassiopeia,T1,0.386,0.3318,0.7555
2670,44.54,Yorick,T1,0.898,0.9198,0.9589
2670,44.54,Cassiopeia,T1,0.383,0.3314,0.7555
2700,45.05,Yorick,T1,0.898,0.9206,0.9588
2700,45.05,Cassiopeia,T1,0.469,0.3319,0.7556
2730,45.55,Yorick,T1,0.901,0.9199,0.9589
2730,45.55,Cassiopeia,T1,0.383,0.3316,0.7556
2760,46.05,Yorick,T1,0.897,0.9199,0.9589
2760,46.05,Cassiopeia,T1,0.398,0.3314,0.7556
2790,46.55,Yorick,T1,0.903,0.9198,0.9589
2820,47.05,Yorick,T1,0.906,0.9199,0.9589
2820,47.05,Cassiopeia,T1,0.387,0.3316,0.7556
2850,47.55,Yorick,T1,0.906,0.9199,0.9590
2850,47.55,Cassiopeia,T1,0.390,0.3315,0.7555
2880,48.05,Yorick,T1,0.654,0.9202,0.9584
2910,48.55,Yorick,T1,0.898,0.9198,0.9588
2940,49.05,Yorick,T1,0.904,0.9198,0.9588
2970,49.55,Yorick,T1,0.905,0.9198,0.9588
3000,50.05,Yorick,T1,0.904,0.9224,0.9585
3030,50.55,Yorick,T1,0.901,0.9198,0.9588
3060,51.05,Yorick,T1,0.906,0.9198,0.9588
3090,51.55,Yorick,T1,0.903,0.9198,0.9588
3120,52.05,Yorick,T1,0.893,0.9198,0.9588
3150,52.55,Yorick,T1,0.751,0.9195,0.9583
3180,53.05,Yorick,T1,0.900,0.9199,0.9588
3210,53.55,Yorick,T1,0.903,0.9200,0.9588
3240,54.05,Yorick,T1,0.894,0.9233,0.9585
3270,54.55,Yorick,T1,0.901,0.9199,0.9587
3300,55.05,Yorick,T1,0.871,0.9196,0.9589
3330,55.56,Yorick,T1,0.878,0.9197,0.9589
3360,56.06,Yorick,T1,0.862,0.9197,0.9588
3390,56.56,Yorick,T1,0.856,0.9197,0.9588
3420,57.06,Yorick,T1,0.835,0.9196,0.9589
3450,57.56,Yorick,T1,0.874,0.9213,0.9586
3480,58.06,Yorick,T1,0.840,0.9196,0.9589
3510,58.56,Yorick,T1,0.829,0.9196,0.9589
3540,59.06,Yorick,T1,0.774,0.9199,0.9590
3570,59.56,Yorick,T1,0.705,0.9204,0.9593
3600,60.06,Yorick,T1,0.481,0.9195,0.9584
3660,61.06,Yorick,T1,0.639,0.9196,0.9589
3690,61.56,Yorick,T1,0.581,0.9197,0.9590
3720,62.06,Yorick,T1,0.707,0.9196,0.9587
3750,62.56,Yorick,T1,0.783,0.9197,0.9588
3780,63.06,Yorick,T1,0.811,0.9198,0.9589
3810,63.56,Yorick,T1,0.795,0.9201,0.9588
3840,64.06,Yorick,T1,0.860,0.9199,0.9589
3870,64.56,Yorick,T1,0.862,0.9198,0.9590
3900,65.06,Yorick,T1,0.882,0.9204,0.9589
3930,65.57,Yorick,T1,0.855,0.9220,0.9587
3930,65.57,Cassiopeia,T1,0.384,0.0487,0.8000
3960,66.07,Yorick,T1,0.798,0.9209,0.9587
3990,66.57,Yorick,T1,0.760,0.9211,0.9587
3990,66.57,Cassiopeia,T1,0.423,0.0483,0.8000
4020,67.07,Yorick,T1,0.794,0.9232,0.9585
4020,67.07,Cassiopeia,T1,0.397,0.0495,0.7999
4050,67.57,Yorick,T1,0.750,0.9235,0.9585
4050,67.57,Cassiopeia,T1,0.441,0.0497,0.7999
4080,68.07,Yorick,T1,0.879,0.9230,0.9587
4080,68.07,Cassiopeia,T1,0.728,0.0496,0.7999
4110,68.57,Yorick,T1,0.852,0.9230,0.9587
4110,68.57,Cassiopeia,T1,0.755,0.0496,0.7999
4140,69.07,Yorick,T1,0.880,0.9205,0.9590
4140,69.07,Cassiopeia,T1,0.665,0.0478,0.7999
4170,69.57,Cassiopeia,T1,0.883,0.4701,0.7563
4170,69.57,Yorick,T1,0.870,0.9232,0.9587
4200,70.07,Yorick,T1,0.829,0.9201,0.9589
4230,70.57,Yorick,T1,0.889,0.9198,0.9590
4260,71.07,Yorick,T1,0.888,0.9198,0.9589
4290,71.57,Yorick,T1,0.886,0.9198,0.9589
4320,72.07,Yorick,T1,0.893,0.9198,0.9589
4320,72.07,Cassiopeia,T1,0.386,0.3318,0.7556
4350,72.57,Yorick,T1,0.895,0.9197,0.9589
4350,72.57,Cassiopeia,T1,0.404,0.3318,0.7556
4380,73.07,Yorick,T1,0.897,0.9198,0.9589
4410,73.57,Yorick,T1,0.900,0.9197,0.9589
4410,73.57,Cassiopeia,T1,0.377,0.3316,0.7555
4440,74.07,Yorick,T1,0.900,0.9198,0.9590
4440,74.07,Cassiopeia,T1,0.428,0.3316,0.7555
4470,74.57,Yorick,T1,0.898,0.9198,0.9589
4470,74.57,Cassiopeia,T1,0.385,0.3316,0.7555
4500,75.08,Yorick,T1,0.899,0.9198,0.9589
4500,75.08,Cassiopeia,T1,0.372,0.3316,0.7555
4530,75.58,Yorick,T1,0.897,0.9202,0.9589
4530,75.58,Cassiopeia,T1,0.377,0.3320,0.7555
4560,76.08,Yorick,T1,0.895,0.9198,0.9590
4590,76.58,Yorick,T1,0.893,0.9198,0.9589
4620,77.08,Yorick,T1,0.887,0.9198,0.9589
4650,77.58,Yorick,T1,0.888,0.9198,0.9588
4680,78.08,Yorick,T1,0.885,0.9199,0.9588
4710,78.58,Yorick,T1,0.877,0.9197,0.9589
4740,79.08,Yorick,T1,0.891,0.9197,0.9589
4770,79.58,Yorick,T1,0.886,0.9214,0.9587
4800,80.08,Yorick,T1,0.692,0.9193,0.9586
4830,80.58,Yorick,T1,0.897,0.9199,0.9588
4860,81.08,Yorick,T1,0.899,0.9199,0.9589
4860,81.08,Cassiopeia,T1,0.416,0.3310,0.7556
4890,81.58,Yorick,T1,0.901,0.9199,0.9590
4890,81.58,Cassiopeia,T1,0.413,0.3311,0.7556
4920,82.08,Yorick,T1,0.899,0.9199,0.9589
4920,82.08,Cassiopeia,T1,0.392,0.3311,0.7556
4950,82.58,Yorick,T1,0.898,0.9200,0.9589
4980,83.08,Yorick,T1,0.899,0.9199,0.9589
4980,83.08,Cassiopeia,T1,0.384,0.3310,0.7556
5010,83.58,Yorick,T1,0.899,0.9199,0.9589
5010,83.58,Cassiopeia,T1,0.359,0.3311,0.7556
5040,84.08,Yorick,T1,0.909,0.9198,0.9586
5040,84.08,Cassiopeia,T1,0.406,0.3314,0.7553
5070,84.58,Yorick,T1,0.908,0.9198,0.9586
5070,84.58,Cassiopeia,T1,0.383,0.3315,0.7554
5100,85.09,Yorick,T1,0.899,0.9199,0.9589
5130,85.59,Yorick,T1,0.892,0.9199,0.9589
5160,86.09,Yorick,T1,0.884,0.9200,0.9588
5190,86.59,Yorick,T1,0.604,0.9199,0.9590
5220,87.09,Yorick,T1,0.645,0.9199,0.9590
5250,87.59,Yorick,T1,0.646,0.9201,0.9590
5280,88.09,Yorick,T1,0.640,0.9200,0.9590
5310,88.59,Yorick,T1,0.896,0.9199,0.9590
5340,89.09,Yorick,T1,0.912,0.9195,0.9586
5370,89.59,Yorick,T1,0.852,0.9202,0.9590
5400,90.09,Yorick,T1,0.841,0.9201,0.9587
5430,90.59,Yorick,T1,0.885,0.9233,0.9587
5460,91.09,Yorick,T1,0.902,0.9233,0.9587
5490,91.59,Yorick,T1,0.875,0.9234,0.9587
5520,92.09,Yorick,T1,0.889,0.9199,0.9587
5550,92.59,Yorick,T1,0.893,0.9196,0.9591
