frame,time_s,champion,team,conf,x,y
0,0.00,Renekton,BLG,0.474,0.9750,0.7393
0,0.00,Alistar,BLG,0.420,0.4087,0.5277
30,0.50,Renekton,BLG,0.474,0.9750,0.7393
30,0.50,Alistar,BLG,0.419,0.4087,0.5277
60,1.00,Renekton,BLG,0.474,0.9750,0.7393
60,1.00,Alistar,BLG,0.418,0.4087,0.5277
90,1.50,Renekton,BLG,0.474,0.9750,0.7393
90,1.50,Alistar,BLG,0.418,0.4087,0.5277
120,2.00,Renekton,BLG,0.473,0.9750,0.7393
120,2.00,Alistar,BLG,0.418,0.4087,0.5277
150,2.50,Renekton,BLG,0.482,0.9750,0.7393
150,2.50,Alistar,BLG,0.419,0.4087,0.5277
180,3.00,Alistar,BLG,0.406,0.4084,0.5279
210,3.50,Renekton,BLG,0.839,0.9751,0.7398
240,4.00,Renekton,BLG,0.838,0.9751,0.7398
270,4.50,Renekton,BLG,0.839,0.9751,0.7398
300,5.00,Renekton,BLG,0.837,0.9751,0.7398
330,5.51,Renekton,BLG,0.835,0.9751,0.7398
360,6.01,Renekton,BLG,0.835,0.9751,0.7397
390,6.51,Renekton,BLG,0.836,0.9751,0.7398
420,7.01,Renekton,BLG,0.836,0.9751,0.7398
450,7.51,Renekton,BLG,0.706,0.9750,0.7400
480,8.01,Renekton,BLG,0.703,0.9750,0.7400
510,8.51,Renekton,BLG,0.789,0.9751,0.7403
540,9.01,Renekton,BLG,0.826,0.9751,0.7404
570,9.51,Renekton,BLG,0.636,0.9747,0.7393
600,10.01,Renekton,BLG,0.677,0.9748,0.7402
630,10.51,Renekton,BLG,0.717,0.9749,0.7405
660,11.01,Renekton,BLG,0.714,0.9749,0.7405
1170,19.52,Alistar,BLG,0.463,0.4072,0.8280
1200,20.02,Alistar,BLG,0.470,0.4067,0.8281
1230,20.52,Alistar,BLG,0.530,0.4069,0.8284
1260,21.02,Alistar,BLG,0.515,0.4067,0.8284
1290,21.52,Alistar,BLG,0.547,0.4062,0.8286
1320,22.02,Alistar,BLG,0.562,0.4062,0.8288
1350,22.52,Alistar,BLG,0.550,0.4062,0.8287
1380,23.02,Alistar,BLG,0.543,0.4062,0.8287
1410,23.52,Alistar,BLG,0.515,0.4061,0.8284
1440,24.02,Alistar,BLG,0.473,0.4060,0.8282
