frame,time_s,champion,team,conf,x,y
0,0.00,Ambessa,T1,0.684,0.4058,0.9422
30,0.50,Ambessa,T1,0.685,0.4058,0.9422
60,1.00,Ambessa,T1,0.683,0.4058,0.9422
90,1.50,Ambessa,T1,0.683,0.4058,0.9422
120,2.00,Ambessa,T1,0.683,0.4058,0.9422
150,2.50,Ambessa,T1,0.683,0.4058,0.9421
180,3.00,Ambessa,T1,0.683,0.4058,0.9422
210,3.50,Ambessa,T1,0.683,0.4058,0.9421
240,4.00,Ambessa,T1,0.681,0.4058,0.9421
270,4.50,Ambessa,T1,0.667,0.4058,0.9421
300,5.00,Ambessa,T1,0.627,0.4059,0.9419
330,5.51,Ambessa,T1,0.528,0.4059,0.9420
540,9.01,Ambessa,T1,0.791,0.4059,0.9420
570,9.51,Ambessa,T1,0.781,0.4058,0.9420
600,10.01,Ambessa,T1,0.781,0.4058,0.9420
630,10.51,Ambessa,T1,0.793,0.4059,0.9420
660,11.01,Ambessa,T1,0.791,0.4059,0.9420
690,11.51,Ambessa,T1,0.787,0.4059,0.9419
720,12.01,Ambessa,T1,0.782,0.4059,0.9418
750,12.51,Ambessa,T1,0.740,0.4059,0.9417
870,14.51,Rumble,KT,0.614,0.4041,0.6010
900,15.02,Rumble,KT,0.607,0.4042,0.6009
930,15.52,Rumble,KT,0.655,0.4052,0.6012
930,15.52,Ambessa,T1,0.386,0.4059,0.9425
960,16.02,Rumble,KT,0.394,0.4049,0.6010
990,16.52,Rumble,KT,0.438,0.5224,0.6011
1020,17.02,Rumble,KT,0.438,0.5518,0.6004
1020,17.02,Ryze,KT,0.418,0.5509,0.9402
1050,17.52,Rumble,KT,0.450,0.5517,0.6004
1050,17.52,Ryze,KT,0.439,0.5509,0.9404
1080,18.02,Ambessa,T1,0.356,0.5507,0.9411
1110,18.52,Ambessa,T1,0.572,0.5499,0.9416
1140,19.02,Ambessa,T1,0.538,0.5499,0.9416
1170,19.52,Ambessa,T1,0.539,0.5499,0.9416
1200,20.02,Ambessa,T1,0.553,0.5499,0.9415
1230,20.52,Ambessa,T1,0.510,0.5499,0.9413
1290,21.52,Ambessa,T1,0.610,0.4058,0.9421
1320,22.02,Rumble,KT,0.636,0.4039,0.6010
1320,22.02,Ryze,KT,0.434,0.4067,0.9424
1350,22.52,Rumble,KT,0.634,0.4039,0.6010
1350,22.52,Ryze,KT,0.426,0.4067,0.9424
1380,23.02,Rumble,KT,0.638,0.4040,0.6010
1380,23.02,Ryze,KT,0.404,0.4066,0.9424
1410,23.52,Rumble,KT,0.643,0.4042,0.6011
1410,23.52,Ryze,KT,0.384,0.4066,0.9425
1440,24.02,Rumble,KT,0.637,0.4039,0.6010
1440,24.02,Ryze,KT,0.381,0.4067,0.9424
1470,24.52,Rumble,KT,0.646,0.4039,0.6010
1470,24.52,Ryze,KT,0.385,0.4067,0.9425
1500,25.03,Rumble,KT,0.652,0.4041,0.6011
1500,25.03,Ryze,KT,0.391,0.4067,0.9425
1530,25.53,Rumble,KT,0.645,0.4040,0.6011
1530,25.53,Ryze,KT,0.434,0.4066,0.9424
1560,26.03,Rumble,KT,0.642,0.4040,0.6011
1560,26.03,Ryze,KT,0.434,0.4066,0.9424
1590,26.53,Rumble,KT,0.667,0.4041,0.6012
1590,26.53,Ryze,KT,0.414,0.4065,0.9426
1620,27.03,Rumble,KT,0.738,0.4049,0.6012
1620,27.03,Ambessa,T1,0.571,0.4058,0.9420
1650,27.53,Ambessa,T1,0.531,0.4059,0.9417
1650,27.53,Rumble,KT,0.399,0.4050,0.6011
1680,28.03,Ambessa,T1,0.609,0.4057,0.9419
1680,28.03,Rumble,KT,0.402,0.4051,0.6012
1710,28.53,Ambessa,T1,0.654,0.4057,0.9423
1710,28.53,Rumble,KT,0.419,0.4054,0.6014
1740,29.03,Ambessa,T1,0.480,0.4060,0.9422
1770,29.53,Ambessa,T1,0.398,0.4061,0.9415
1800,30.03,Ambessa,T1,0.416,0.4060,0.9417
1830,30.53,Ambessa,T1,0.382,0.4060,0.9416
1860,31.03,Ambessa,T1,0.434,0.4059,0.9419
1890,31.53,Ambessa,T1,0.606,0.4060,0.9421
1920,32.03,Ambessa,T1,0.396,0.4061,0.9419
1950,32.53,Rumble,KT,0.415,0.4032,0.6008
1980,33.03,Rumble,KT,0.422,0.4032,0.6008
2010,33.53,Rumble,KT,0.430,0.4033,0.6007
2040,34.03,Rumble,KT,0.424,0.4032,0.6005
2070,34.53,Rumble,KT,0.418,0.4032,0.6005
2100,35.04,Rumble,KT,0.420,0.4032,0.6006
2130,35.54,Rumble,KT,0.421,0.4033,0.6006
